,0
CarAge,0.4755378782536809
Model_enc,0.1606448419233283
Brand_enc,0.11864998709968264
Transmission_Manual,0.0633508094209551
ModelListingCount,0.04854318455034298
EngineCC,0.04606638027699041
Mileage,0.02610194169912737
FuelType_Unknown,0.016149110032436007
HasEngineCC,0.008934432074467424
Source_Hatla2ee,0.0043963782599354545
FuelType_Gas,0.0028284544409893086
MileagePerYear,0.002447077695463193
Governorate_Cairo,0.0002953768557572567
FuelType_Electric,0.0002472506843414074
FuelType_Natural Gas,0.00022164651416811676
Governorate_Alexandria,0.00012497901641897458
FuelType_Hybrid,0.00012291702823838402
Governorate_Giza,0.0001109028983925231
Governorate_Qalyubia,5.210214467896157e-05
Governorate_Qena,1.7989821900113445e-05
Governorate_Sharqia,8.842713971932148e-06
Governorate_Suez,6.193799355916352e-06
FuelType_Plug-in Hybrid,2.549510401142485e-06
Governorate_Aswan,0.0
Governorate_Al Qalyubia,0.0
Governorate_Monufia,0.0
Governorate_Beheira,0.0
Governorate_El Mansoura,0.0
Governorate_Beni Suef,0.0
Governorate_Ismailia,0.0
Governorate_Greater Cairo ( Cairo + Giza),0.0
Governorate_Kafr El Cheik,0.0
Governorate_El-Alamein,0.0
Governorate_El Minya,0.0
Governorate_El-Arish,0.0
Governorate_El Wadi El Gedid,0.0
Governorate_El Faiyum,0.0
Governorate_Sinai,0.0
Governorate_Port Said,0.0
Governorate_Sharm el-Sheikh,0.0
Governorate_Red Sea,0.0
Governorate_Marsa Matrouh,0.0
Governorate_Mariotya,0.0
Governorate_Kafr el-Sheikh,0.0
Governorate_Luxor,0.0
Governorate_South Sinai,0.0
Governorate_Sohag,0.0
Governorate_Unknown,0.0
Governorate_Gharbia,-4.983336973837793e-06
Governorate_Dakahlia,-5.5912573659056e-06
Governorate_Ben Suef,-1.3180437204912687e-05
Governorate_Damietta,-3.109347270546792e-05
Governorate_Asyut,-6.112142799083453e-05
